"Country or Area","Year","Value","Value Footnotes","Unitâ€œ
Austria,2014,1272288,,tonnes
Austria,2012,1065888,,tonnes
Austria,2010,1472864,,tonnes
Austria,2008,1329984,,tonnes
Austria,2006,961899,,tonnes
Austria,2004,1013727,,tonnes
China,2014,36335200,,tonnes
China,2012,34652400,,tonnes
China,2010,15867500,,tonnes
China,2008,13570000,,tonnes
China,2006,10840000,,tonnes
China,2004,9950000,,tonnes
Denmark,2014,1718394,,tonnes
Denmark,2012,1216905,,tonnes
Denmark,2010,1224795,,tonnes
Denmark,2008,419646,,tonnes
Denmark,2006,372892,,tonnes
Denmark,2004,319672,,tonnes
Finland,2014,1998693,,tonnes
Finland,2012,1653942,,tonnes
Finland,2010,2559417,,tonnes
Finland,2008,2163268,,tonnes
Finland,2006,2710948,,tonnes
Finland,2004,2153103,,tonnes
France,2014,10782969,,tonnes
France,2012,11303137,,tonnes
France,2010,11538134,,tonnes
France,2008,10892900,,tonnes
France,2006,8888747,,tonnes
France,2004,8764275,,tonnes
Germany,2014,21812660,,tonnes
Germany,2012,21983896,,tonnes
Germany,2010,19931452,,tonnes
Germany,2008,22323152,,tonnes
Germany,2006,21705416,,tonnes
Germany,2004,20000026,,tonnes
Italy,2014,8923548,,tonnes
Italy,2012,8987032,,tonnes
Italy,2010,8543415,,tonnes
Italy,2008,6878155,,tonnes
Italy,2006,7464670,,tonnes
Italy,2004,6134449,,tonnes
Philippines,2014,1712505.375,,tonnes
Philippines,2012,678811,,tonnes
Philippines,2010,1346506,,tonnes
Philippines,2008,"164,939,280	 	",,tonnes
Philippines,2006,11786053,,tonnes
Philippines,2004,707407,,tonnes
Portugal,2014,461629,,tonnes
Portugal,2012,544963,,tonnes
Portugal,2010,666529,,tonnes
Portugal,2008,564884,,tonnes
Portugal,2006,6063104,,tonnes
Portugal,2004,2263203,,tonnes
Zimbabwe,2014,14327.90039,,tonnes
Zimbabwe,2012,37356.87109,,tonnes
Zimbabwe,2010,45536.69922,,tonnes
Zimbabwe,2008,20286.65039,,tonnes
Zimbabwe,2006,24368.59961,,tonnes
Zimbabwe,2004,21924.58008,,tonnes
